project_ending,rating,text,sentiment
Completed,,Terimakasih banyak.,1
Self Mediation,,,1
Completed,,Selalu keren hasil pekerjaannya.,1
Completed,,Selalu puas dengan hasil pekerjaannya...,1
Completed,,Mantap! Perkerjaannya cepat dan memuaskan,1
Completed,,Mantappp.. pekerjaan selalu memuaskan,1
Completed,,"Mantap pekerjaannya, selalu memuaskan",1
Completed,,"Keren, selalu puas dengan hasil kerjanya...",1
Completed,,"Keren euy, Fast work...",1
Completed,,"Keren, hasil kerja selalu memuaskan...",1
Completed,,"Gercep kerjaannya, mantapp",1
Completed,,Selalu suka dengan hasil kerjanya,0
Completed,,"Fast Work, dan tentu saja sesuai dengan permintaan..",1
Completed,,"god job mas, selalu memuaskan hasil kerjanya..!",1
Completed,,"mantap, fast!",1
Completed,,fast dan selalu memuaskan hasil kerjanya,1
Completed,,Selalu memuaskan hasil kerjanya.. mantap!,1
Completed,,"Fast, seperti biasanya, sangat rekomended!",1
Completed,,Mantappp... selalu memuaskan kerjaannya..,1
Completed,,Good Job mas.. !,1
Completed,,,1
Completed,,mantapp.. fassttt!!!,1
Completed,,Mantap Mas... fast banget...,1
Completed,,"Fast Work, dan selalu sesuai harapan,",1
Completed,,hasil kerja selalu memuaskan...,1
Completed,,Selalu memuaskan hasil kerjanya,0
Completed,,"Mantap banget, always good job!",1
Completed,,"God Job, Fast banget kerjanya euy dan tentunya sesuai permintaan.,.",1
Completed,,"mantap, good job...!",1
Completed,,Pekerjaan selalu sesuai permintaan...,1
Completed,,"Fast Work, selalu sesuai permintaan.. Mantap mas.",1
Completed,,"Mantap banget, cepet proses pengerjaannya...",1
Completed,,Mantap.. fast work...,1
Completed,,"Tidak pernah mengecewakan, selalu sesuai permintaan.. mantap..!",1
Completed,,Keren... sesuai expektasi...,1
Completed,,Good Job.. selalu memuaskan hasil kerjanya,1
Completed,,"Mantap, Fast Works...",1
Completed,,Hasil Pekerjaan selalu sesuai permintaan..,1
Completed,,"Mantap, selalu hasil yang memuaskan...",1
Completed,,Mantaap! Selalu sesuai ekspektasi...!,1
Completed,,"Fast Work, dan selalu sesuai permintaan.. Makasih Mas...",1
Completed,,Mantaapp bangat....,1
Completed,,Pekerjaan selalu sesuai ekspektasi...,1
Completed,,Mantap...!,1
Completed,,"Hasil Selalu Memuaskan, Good Job!!",1
Completed,,Hasil selalu memuaskan...,1
Completed,,Mantapp... Hasil kerja selalu sesuai harapan...,1
Completed,,"Mantap, Pekerjaan selalu sesuai ekspektasi",1
Completed,,"Nice Job, Pekerjaan selalu sesuai dengan harapan...",1
Completed,,"Mantap, Fast & komunikatif",1
Completed,,"Josh, Fast Bangat... Terima Kasih mas...",1
Completed,,"Pekerjaan sesuai ekspektasi, komunikasinya juga baik..",1
Completed,,Mantappp.... Selalu sesuai EkspektasiKomunikasinya pun sangat baik....,1
Completed,,"Pekerjaan Rapi, dan sesuai dengan permintaan...",1
Completed,,Hasil Pekerjaan Selalu memuaskan...,1
Completed,,"Fast Respon, dan pekerjaan selalu sesuai keinginan..",1
Completed,,Selalu memuaskan hasil kerjanya...,0
Completed,,"Pekerjaan selalu tepat waktu, dan sangat puas dengan hasilnya...",1
Completed,,"Mantap, Pekerjaan selalu tepat waktu, dan Komunikatif..",1
Completed,,"Selalu sesuai Harapan, mantapp...",1
Completed,,Hasil & Komunikasi Bagus....,1
Completed,,"Mantap, Rekomended... ^^",1
Completed,,Always Good....,1
Completed,,"Mantap, Fast Kerjanya.. dan sesuai harapan...",1
Completed,,"Komunikatif, dan Hasil Sesuai Permintaan",1
Completed,,Mantap....,1
Completed,,"Mantap, sangat puas dengan hasilnya...",1
Completed,,Sesuai Expektasi....,1
Completed,,Mantap mas...,1
Completed,,Good job mas... selalu memuaskan hasil kerjanya...,1
Completed,,Nice... selalu memuaskan...,1
Completed,,"Komunikatif, dan Hasil sesuai harapan...",1
Completed,,Nice Job...,1
Completed,,Good Job pak,1
Completed,,"Sip, Good Job mas...",1
Completed,,Thx mas...,1
Completed,,Komunikatif dan Pekerjaan Rapi..,1
Completed,,"Sangat Komunikatif, Pekerjaan Terselesaikan Dengan Baik....",1
Completed,,Pekerjaan sesuai dengan yang diinginkan.,1
Self Mediation,,,1
Completed,,"Terima kasih bantuannya, semoga bisa bekerja sama lagi di project kami selanjutnya.",1
Completed,,"ok , namun masih ada PR",0
Completed,,thank you.. mantap,1
Completed,,mantap gan,1
Completed,,Auto-rated by system.,0
Completed,,Great experience working with Manakeatif!,0
Completed,,Simple Work and done in simple way . thank you,1
Self Mediation,,,1
Completed,,Auto-rated by system.,0
Completed,,"Pak Aris, orangnya gak banyak bicara / nanya, tapi beliau mengerti bagaimana cara membuat website yang berkelas, mantap deh, puas, semoga bisa terus bekerja sama di project selanjutnya. Terima kasih 😊👍",1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,Auto-rated by system.,0
Completed,,"Terima Kasih, Project di Selesaikan Ontime, Improvisasi design bagus dan Komunikasi Fast Respond. Professional",1
Completed,,"keren , mantab",1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,"Sangat responsif, hasil memuaskan. Terima kasih!",1
Completed,,,1
Completed,,Pekerjaannya baik sekali.  Sangat professional.,1
Completed,,Worker cukup memberikan feedback yang baik.,1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,"Bagus mas, pengerjakan selesai",1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,thanks        t,2
Completed,,Auto-rated by system.,0
Completed,,will hire again.,1
Completed,,,1
Completed,,thanks pak,1
Completed,,Terimakasih banyak kerjasamanya,1
Completed,,"thanks, sudah bekerjasama",1
Completed,,Pekerjaan sesuai dengan yang diharapkan.,1
Completed,,,1
Completed,,Auto-rated by system.,0
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,Pekerjaan dapat selsai dengan cepat.,1
Completed,,Auto-rated by system.,0
Completed,,Terimakasih atas kerjasamanya.,1
Completed,,,1
Completed,,"Pekerjaan Sesuai ekspektasi, selalu supportif, makasih Mas Aries, smg berkah ilmunya,  Top",1
Completed,,Thanks gan,1
Completed,,"worker sangat komunikatif dan fast respon , pengerjaan juga cepat",1
Completed,,,1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,"Pekerjaan rapi, komunikasi responsif, dan expert bisa sesuai dengan design yg diberikan",1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
